,city_id,city_names,relative_uf,capital
204,03e85c28-8c3a-4fbd-857b-0d823fc03c3d,Amorinopolis,GO,0
205,dcec2605-b146-4c77-9179-1cb9dc34495f,Amparo,PB,0
206,67aa96b6-7ddd-466b-ba80-e8aa7c127641,Amparo,SP,0
207,eab76b05-7b7c-41a3-8a60-9b3f6e38fc11,Amparo de Sao Francisco,SE,0
208,60cbd1f6-fcdd-4fe4-bea4-b332daeced44,Amparo do Serra,MG,0
209,37c3d4f4-f727-4b58-9ec8-5ac904f587ee,Ampere,PR,0
210,2de42153-bc01-4066-995b-8a76ee43791b,Anadia,AL,0
211,bf86ff7a-bc6f-4355-babf-8d28bd866beb,Anage,BA,0
212,d4ea9d62-fac1-4b72-9c2f-3f27d44a6a86,Anahy,PR,0
213,13e98c9e-e54e-4a1a-819e-74c62e569cb5,Anajas,PA,0
214,e1e076c3-3b85-4a2e-8cc0-100bbdfd8847,Anajatuba,MA,0
215,064a3f61-fe59-4988-9887-8b0ea4d9d568,Analandia,SP,0
216,2ab94b24-7384-4f0f-92fb-0b79b20d264a,Anama,AM,0
217,4ba5d869-7a59-4c61-b51a-ce0c331ae250,Ananas,TO,0
218,6ec4d69c-ff95-462d-8dd2-2bfd1f25dd39,Ananindeua,PA,0
219,912fb34f-efa9-4161-bad8-e4a3898bd9d0,Anapolis,GO,0
220,079c9e06-ae57-480f-8a20-ce5056d7f0f7,Anapu,PA,0
221,3d370c5e-82a9-42f7-880c-17fd6221c160,Anapurus,MA,0
222,de0309fd-1110-45c4-acea-0ffd9182d4fd,Anastacio,MS,0
223,c03ce190-7451-4e75-80ec-71651efaa321,Anaurilandia,MS,0
224,39613d80-19d8-4295-8fb9-9506579c9307,Anchieta,SC,0
225,773290fc-b119-4854-b281-221f745de82d,Anchieta,ES,0
226,9f363951-056e-4ebe-b82e-ee7ce8d1025a,Andarai,BA,0
227,e3b347df-bd7e-4cc3-a856-5c6792bdd24f,Andira,PR,0
228,3b5c5193-8112-4792-bdbf-58519778be6d,Andorinha,BA,0
229,0bf0a259-861b-48b3-ab04-ec5d1de64574,Andradas,MG,0
230,39e685af-214d-41c9-a13f-17ec9fd36bf9,Andradina,SP,0
231,eb7ec506-9e0b-432e-96ec-11840c45a787,Andre da Rocha,RS,0
232,74ba6558-dd84-4288-860a-b39a33ab239c,Andrelandia,MG,0
233,c505a49d-2d61-4437-8a22-367932ed0e51,Angatuba,SP,0
234,ac142f1f-7015-4d4a-afe5-2dd3e78a9afb,Angelandia,MG,0
